"name","cluster"
"tRF-36-RXPIN24YDRFU8U0","4"
"tRF-36-S2I7L7K5QKF1M3E","4"
"tRF-36-S2I7L7P5QK11M3E","2"
"tRF-36-V29K9UV36562IZ0","4"
"tRF-37-87R8WP9N1EWJQ72","4"
"tRF-37-9LON4VN1EH6KK8N","2"
"tRF-37-EH623K7SIR3DR2M","6"
"tRF-37-HQ9M739P8WQ0D52","4"
"tRF-37-QKF1R38E8RO86J2","4"
"tRF-37-QKF1R3WE8RO86J2","2"
"tRF-37-RPD9W1X6L85J3KQ","4"
"tRF-37-S2I7L7P5QK11M3Q","4"
"tRF-37-U0IO5BKD09Z51UJ","4"
"tRF-37-V47P596VW631QJJ","2"
"tRF-38-0668K87SERM492V","4"
"tRF-38-0VL8K87SIRMM12V","7"
"tRF-38-43RX6NMH490VL8DJ","2"
"tRF-38-9LON4VN1EH6KK80E","4"
"tRF-38-EH623K76IR3DR2DV","6"
"tRF-38-EH623K7SIR3DR2DV","6"
"tRF-38-L85DMKYUYRLHR0D2","4"
"tRF-38-PNR8YP9LON4VN18","2"
"tRF-38-RXPIN24YDRFU8U0E","4"
"tRF-38-U0IO5BKD09Z51UD2","4"
"tRF-38-V6Z3M8ZLSSXUOLD2","4"
"tRF-39-0668K87SERM492E2","6"
"tRF-39-0VL8K87SIRMM12E2","4"
"tRF-39-87R8WP9N1EWJQ7FV","4"
"tRF-39-EFOK8YR951K36DFV","4"
"tRF-39-EH623K76IR3DR2I2","4"
"tRF-39-EH623K7SIR3DR2I2","2"
"tRF-39-EH6KK87SIRM1DVE2","6"
"tRF-39-HMI8W47W1R7HFEE2","4"
"tRF-39-I7XUK87SIRMJ6VE2","6"
"tRF-39-PSQP4PW3FJIKE727","1"
"tRF-39-WP9N1EWJQ72S3HIJ","2"
"tRF-40-18YKISQI45LSM1M3","2"
"tRF-40-2VR008R959KUMKF6","4"
"tRF-40-8HM2OSRNLNKSEK51","7"
"tRF-40-EFOK8YR951K36D26","6"
"tRF-40-XENDBP1IUUK7VZ0R","3"
"tRF-41-8HM2OSRN2NKSEK51B","6"
"tRF-41-8HM2OSRNLNKSEK51B","4"
"tRF-41-PSQP4PW3FJIKE7UMD","4"
"tRF-41-UMX0SW5NLM45EKP1B","6"
"tRF-41-XENDBP1IUUK7VZ0RB","2"
"tRF-41-YDLBRY73W0K5KKOVD","6"
"tRF-42-0HJBRR93W0K672052","6"
"tRF-42-87R8WP9N1EWJQ72SJ","2"
"tRF-42-HENBRRX3WB365K652","7"
"tRF-42-HENBRSX3W03628652","4"
"tRF-42-HENBRSX3WE3628652","7"
"tRF-42-PSQP4PW3FJIKE7UMJ","2"
"tRF-42-YDLBRY73W0K5KKOV2","7"
"tRF-42-YQHQ9M739P8WQ0D52","4"
"tRF-16-07QSNHD","7"
"tRF-16-0P5830E","1"
"tRF-16-0VL8K80","1"
"tRF-16-1EWJQ7D","6"
"tRF-16-1QKS3WD","7"
"tRF-16-1SS2PMB","8"
