,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-16-8S68L5D,,,2,2,,,3,2,,,3,1,1,1,1,,1,1,,,,2,,1,,,1,,,2,,3,2,1,,,,,,4,3,2,2,2,1,,1,1,1
tRF-16-8SPOF5D,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-8SPOL5D,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-8WQ0D5D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
tRF-16-8Y3DUVD,,,1,,,1,,,,,,,1,,1,,,,,,,1,1,,,,1,1,1,,,4,,3,,,,,,,,1,,,3,,,,1
tRF-16-91M3WDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-16-91PJB7D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-93Q01MD,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-945NB2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-16-94V4SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
tRF-16-96L85DE,,1,,,,,,,,,1,,,,,2,,1,1,1,,1,,,,2,,,,,,1,,,,,,,,,,,,,2,,,,
tRF-16-98YKIS0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
tRF-16-99OMEM0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
tRF-16-9EDJSYB,,2,2,,,,1,,,2,2,,,,1,,,2,,1,,,,,1,,,,,2,,4,1,,,,,,,,,,,,,,,,
tRF-16-9L1HW3D,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-9L5H4VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
tRF-16-9L5HJVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-16-9L5HLVE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-9L5HMVE,,,2,3,,,,1,1,1,2,2,,2,,6,,2,1,1,,1,3,2,,,,4,1,,,1,,4,1,,,,4,1,4,1,3,,1,1,1,1,2
tRF-16-9LQHWUD,,,,,2,,,,,,,2,,3,,,1,4,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,1
tRF-16-9MVH7P0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,
tRF-16-9N1EWJ0,23,25,18,23,40,5,44,39,26,24,53,19,16,58,26,199,11,72,10,80,8,79,10,8,16,63,3,71,5,98,19,130,14,127,18,10,18,38,41,27,18,33,13,13,98,19,35,72,24
tRF-16-9N1QKSD,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,
tRF-16-9N2M3KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-9NDJ78B,,,,,,,,,,,1,,,2,,,,,,2,,,,,1,,,,,1,,2,,,1,,,,,,,1,,,,,,1,
tRF-16-9NF5W80,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-9NLM3KE,,,,1,2,,,,,,2,,,,,,,1,1,1,,,,,1,,2,1,,1,1,1,,1,,,1,,,,,,1,,2,,,,
tRF-16-9NS334D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-16-9Q53K80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
tRF-16-9Q5JK80,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
