,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-20-6J9KIWRN,,1,,,,,2,,1,1,2,,,1,,6,,,,1,,1,1,,,1,,3,,1,,,,,,,1,1,,,,,,3,1,1,1,1,1
tRF-20-6NMH490V,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
tRF-20-6QR47673,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-20-6VM8NPN3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-6VM8NPZ3,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,
tRF-20-739P8WQ0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,
tRF-20-73V2Y8L9,8,11,12,18,17,4,19,26,19,4,14,12,13,6,2,31,11,9,4,14,5,18,6,6,6,9,1,20,2,19,4,23,4,21,6,1,5,15,15,6,21,21,16,11,38,7,12,30,14
tRF-20-73V2YPL9,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
tRF-20-73V6M9PX,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
tRF-20-73VL4YMY,,2,1,,,,,1,,,2,2,1,,2,4,3,4,,,,,,3,,1,,,1,,,3,1,2,,1,1,,1,,,1,,,,,,3,
tRF-20-76D7M4O1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-76DRMD51,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-20-76RSJM8R,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,2,
tRF-20-79M89P9N,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-79MP9P9M,,,,,,,,,,,,,,2,,1,,,,,,1,,,,1,,1,1,2,,1,,1,,1,,,,,,,,,,,,,
tRF-20-79MP9PMN,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,,,,,,,,,,,,,,
tRF-20-7HFK8SR9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-20-7INFLWRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,
tRF-20-7N232WMK,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-7N2E2WMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,
tRF-20-7NLE2WMK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
tRF-20-7P596VW6,,1,,,2,1,2,1,,1,2,1,,1,,5,,2,,3,,,,,1,2,,2,,3,,2,,1,,1,,1,1,,,2,,,1,1,1,1,3
tRF-20-7P59N3Z6,,1,,1,1,,4,,1,,,1,2,,,,,,,,,1,,,,,,1,,,,,,,,,,1,1,,,,,,,,,1,3
tRF-20-7S17M4O1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-7SD6MSRM,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-7SDR69OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
tRF-20-7SIR3DR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-20-7UYK7IVI,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-7X9PN547,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,1,,,,,,,1,1,,,,,,,1,,,1,
tRF-20-7Z2R1HPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-20-801MK8YO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-808HWKS5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,,
tRF-20-80WS7209,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-81PV6RRN,,1,4,1,3,,1,2,2,1,,1,,,,2,1,5,2,1,,2,1,4,3,1,1,5,,1,,2,1,2,,,,3,4,2,5,6,1,,2,1,4,1,1
tRF-20-83ML5F82,,,,,,,,,,,,,,,,3,,1,,1,,,,,,1,,,,,,,,1,,,1,,,,,,,,,1,,,
tRF-20-83ML5F92,,1,2,1,1,2,1,3,1,,4,1,3,3,1,5,,1,,1,,4,3,1,,1,,1,,5,1,2,,1,,1,1,,3,2,2,3,1,,1,,1,1,1
tRF-20-83RL5FZU,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-83X4J09K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-20-845JJ8RY,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
tRF-20-86J8WPMN,,1,,1,2,,,1,,1,,,,1,,1,1,1,,,,1,,,,,,1,,3,,,,1,,,,,1,,1,,,2,1,1,,,
tRF-20-86V8WPMN,1,,1,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,
tRF-20-86YZQD3K,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-877343RX,,5,2,11,5,,7,1,4,7,21,2,1,6,,23,,6,,17,,18,1,7,,,,11,,11,1,12,,9,,,,3,3,7,2,6,2,1,17,3,12,6,8
tRF-20-87R718YK,1,1,,1,,,,,,,,1,,1,,2,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
tRF-20-88FYRE98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-20-88I26WRN,7,6,5,2,2,1,1,9,14,1,1,10,5,9,1,16,,2,,1,,6,5,,2,5,,4,,6,,8,2,3,1,1,,3,8,4,4,9,6,14,4,2,5,4,4
tRF-20-8B8871K9,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,
tRF-20-8B8HWKS5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
tRF-20-8B8SOUPR,43,20,64,37,70,12,81,61,26,32,63,21,39,31,17,25,6,46,12,58,9,30,31,35,19,82,31,26,8,31,9,55,15,30,10,2,10,106,41,48,20,71,52,84,42,48,91,16,51
tRF-20-8BRY93WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-20-8BWS7209,,1,2,,,,,,3,,,,,1,,1,,3,,1,,1,,,,4,,1,,1,,,,,1,,,1,,,,2,,,2,,,1,
tRF-20-8BWS7K09,,,,,,1,,1,,,,,,,,,1,,,,,,,1,,2,,,,1,,,1,,,,,,,,,2,,,2,,,,
tRF-20-8BWSNKP9,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
tRF-20-8E8SPOX5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-8EKSP185,4,6,2,5,10,1,16,8,2,1,8,,3,2,2,4,2,3,1,3,1,7,2,5,3,1,,2,1,7,1,12,,2,1,1,1,7,2,6,3,10,2,2,14,4,19,6,6
tRF-20-8EKSPM85,,1,1,,4,,2,,,,,1,,2,1,,,2,,,2,1,,,1,,2,,1,1,,1,,,,,,,,,,1,,,,2,,,
tRF-20-8FFDXXE6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-8FLUD3KS,,,1,,,,,,,,,,,1,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,2,,,,1
tRF-20-8HM2OYRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-20-8HYV45EH,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-8K587SI7,,,1,1,,,,,1,,,4,,,,,,1,,,,,,4,1,,,1,,1,,1,,,,,,,1,,,,1,,,,,1,
tRF-20-8NRS9NS3,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
tRF-20-8NWE6WRN,,,,,,,1,1,,,,1,,,,2,,1,,2,,,1,1,1,1,,1,1,1,,1,,1,,,,1,,,1,,,,1,2,,,
tRF-20-8O90Q4R9,,2,,,,,1,,,,1,,,1,,,,2,1,,1,,,,,,,,,,2,2,,1,,,,1,,,,1,,,,,3,,
tRF-20-8OP3X1M3,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-8PHPDJXW,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,,
tRF-20-8RQFR9O1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-8RQFR9OM,,,1,,,,,,,,,,,,,,,1,1,,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,,1,
tRF-20-8WI26WRN,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-93FJIYEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-20-93Q01M3K,,2,,,1,,,,,1,1,,,,,2,,2,,1,,,,,,2,,1,,1,,,,,,,,2,,2,,,,,2,1,1,1,
tRF-20-94V4SMIF,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-96L85DMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-20-98YKISQI,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,2,,
tRF-20-99BMEMR3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
tRF-20-99DMEMR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
tRF-20-99OMEMR3,2,1,1,,,1,,1,1,1,,3,2,,,1,,,,2,,3,,,,2,,1,,1,1,,,2,,2,,,1,2,,2,1,,1,,,4,
tRF-20-9DH48V7K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-20-9EDJSYE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-20-9EDJSYIR,,,1,,2,,1,2,,1,2,,,8,2,9,,7,,4,,2,2,1,1,5,,4,,3,1,4,,7,2,,,,,1,,,,,,,,4,
tRF-20-9KWR3HJ3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
tRF-20-9L5HMVYJ,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-20-9LONNVN1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
tRF-20-9M739P8W,,,,,,1,,2,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-9MUKL6O9,,,,,,,1,,1,,,,,,1,2,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,1,,
tRF-20-9MUKLY5Z,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1
tRF-20-9MVH7P59,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-9N15WV7W,4,1,2,,,,1,4,6,1,2,,1,1,2,17,,6,,3,1,7,1,,1,1,,4,1,6,,6,,,,,,1,1,1,,,2,,8,,,7,
tRF-20-9N1EWJQ7,29,30,28,32,27,5,47,55,41,37,50,28,45,38,11,102,20,42,16,53,8,51,27,23,17,50,7,43,16,69,12,63,9,102,11,7,3,43,57,34,58,38,38,30,47,6,50,30,37
tRF-20-9NDJ78EX,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
tRF-20-9NF5W8EZ,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-9NLE3JW2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-9NLE3JWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-20-9NS334L2,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
tRF-20-9NY5KKM1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
tRF-20-9O0PRMQ0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-9P9MH57S,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-9P9NH5SY,,,,,,3,,,,1,,,,,1,1,,,,1,,,,,,1,,4,,,,,,1,,,,,,,,,,,,,,,
tRF-20-9PMNH5IS,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-9PW4PU73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-20-9Q5JK87S,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
tRF-20-9RQ4R9O1,,,1,1,1,,,5,1,2,1,2,1,,1,,,,,,,,2,1,,1,,2,,2,1,2,,,,,,1,1,1,2,2,6,,,,,,2
tRF-20-9UV36562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-20-9VWVEH93,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,1,,,2,1,2,,,,,,,,,,1,1,,,,1,,
tRF-20-9VZVEH93,5,,,,1,,1,2,,,5,,1,5,1,11,,4,,5,1,11,,2,1,5,,8,,3,1,15,1,11,2,,,1,,2,,5,,,2,1,3,1,
tRF-20-9W53K876,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-B0845JJ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-20-B3J811IK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
tRF-20-B4ZPEK45,,,,,1,2,1,4,1,,,,,,,,,,,,,,1,1,1,,,1,,2,,,,,,,,,1,,,1,1,,,1,,,1
tRF-20-B7MNLE30,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-20-B92EB0U6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-20-BBSQ6KK4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-BE7XO8Q6,3,,6,,6,5,10,6,,,1,,1,1,,,1,1,,4,1,1,3,1,2,8,1,5,,4,1,2,,,,1,,3,11,2,10,,10,,3,1,2,,2
tRF-20-BM32LJK6,1,,1,2,4,1,5,4,,1,3,,1,,,2,,1,1,2,,,1,1,,,,,,1,,6,1,1,2,,,3,1,,2,4,,1,1,,7,,2
tRF-20-BMEMR326,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,1
tRF-20-BMK1QV26,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
tRF-20-BMM3PR46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-20-BMW36D46,,1,,,,,1,,,,,,,,,5,,1,,1,,2,,,,2,,,,,,1,,,,,1,2,,,,1,,,,,,,
tRF-20-BMW3RD46,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-20-BMWIRJ46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-20-BOJ8N981,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-BX1WZ4RZ,,,,,,,,,,,,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-20-D112Z4R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-20-D3KY7SHR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-20-D7OK8Y19,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-D80L9RQ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-20-D81H93WB,,2,2,1,,,1,7,3,1,1,,,,1,1,1,1,,,,1,1,2,,2,,2,,,2,,,,,3,1,2,1,,3,3,1,1,,,4,1,1
tRF-20-D890YBOZ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-D8XJEZ6I,,1,2,,,,,4,1,1,,,,2,,1,,3,1,1,,,,2,,1,1,6,,2,,3,,5,,,,,1,,2,,,,,3,1,1,1
tRF-20-DD1KYK37,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,,1,,,,2,,,,,,,,,,,,
tRF-20-DF7UK87S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
tRF-20-DHXY6RHD,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,1,,,1,,,1,
tRF-20-DJSYIR6M,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-DJXW7SD6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-20-DMEMR326,,,,1,,,1,,,,,1,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,
tRF-20-DMKNR7F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
tRF-20-DR3J0926,,1,5,5,2,3,18,6,7,1,4,2,3,,2,5,1,,1,4,1,6,4,2,1,,2,3,1,1,4,1,1,,2,1,,3,7,4,6,6,1,2,5,2,13,2,1
tRF-20-DR3JH926,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
tRF-20-DRFU8U76,,1,,,,,1,2,,,2,,,,1,2,2,,,2,,1,,,,4,,,,1,,3,2,1,1,1,1,,3,1,1,2,1,,1,1,1,3,
tRF-20-DWY2MJ8F,3,4,7,6,31,6,23,21,9,1,4,5,,7,4,1,1,8,,15,,8,18,5,1,14,1,13,1,13,2,3,,5,2,,,4,54,5,23,6,32,1,4,6,3,4,2
tRF-20-E3FVSYER,,,1,,1,,1,2,,,1,,,,,,,1,,,,,,,,1,,2,,5,,3,,1,,,,2,,1,,,,,,4,1,,
tRF-20-E6199M8O,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-E7OMJHHS,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-20-E9UN207R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-20-EO7N987X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
tRF-20-ERFMF0QV,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
tRF-20-F0IURNL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
tRF-20-F0QV7NLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
tRF-20-F1R3WE8R,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-F538E7OM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-20-F6RE987S,5,16,13,7,9,7,11,13,10,8,5,12,10,13,11,6,11,12,2,8,7,19,13,,4,6,4,16,1,15,4,12,7,20,6,10,3,9,7,10,40,17,24,5,19,12,11,16,12
tRF-20-F8DHXY6R,16,15,4,11,23,2,38,36,20,3,12,17,11,1,4,6,3,6,1,5,,2,6,5,2,5,3,1,2,8,1,12,2,1,,2,1,9,68,16,3,14,18,5,65,11,5,160,11
tRF-20-F900BY4D,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
tRF-20-F91SS2PM,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-FBQ622EV,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,2,,,,,,,1,,,,1,,
tRF-20-FEWS3V2V,4,2,2,1,4,,5,3,2,4,2,1,1,8,2,9,1,5,1,2,1,6,2,2,,7,,8,2,3,4,6,2,10,,,3,5,3,3,,1,3,4,7,6,4,4,3
tRF-20-FEWS3VJV,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-FKVH6M5V,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,2,,,,,,,,,,,,1,,3,,,,,,,
tRF-20-FMD0SRMN,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,2,,1,,,,1,,,,,,,,1,,,1,,,1,
tRF-20-FMF07V7N,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-20-FMF0QV7N,,,,,1,,,,,,1,,,,,,,,,,,2,,1,,,,1,,2,,,,1,,,,,,,,1,,,,,,2,
tRF-20-FPZD3KYU,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
tRF-20-FQPH113K,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
tRF-20-FSXMSL73,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-FVI8E9UN,,,,,,,,,1,,,,,,,2,,3,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
tRF-20-FVSYERFM,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-FW6SF8WO,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-FWQ8P6U1,,,1,1,,2,,,,,,1,2,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,1,,1,1,
tRF-20-FYRE987S,2,1,,4,1,4,2,1,,,,1,,1,,,1,,,,1,1,1,1,,2,,1,,,,,,1,,1,,,,,4,1,4,1,1,,,2,1
tRF-20-H1NRM5U6,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-H3RXSINH,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-H6Z3NPPR,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-H7V3LY76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-20-H7V3LY7S,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-HDPORSM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-20-HENBRSX3,,,1,,,,,,4,,1,,1,1,,2,,,,1,,,,,,1,,,,1,,3,,2,,,,1,,,,,,,,1,,,
tRF-20-HKIK74HK,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
tRF-20-HVHBEXBI,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-HXD3KY7S,1,,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,,,1,,1,,,,1,,,,,,,1,,,1,1,,
tRF-20-HYD33U7S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-20-I0SRRNLM,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-I1539U76,1,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,,2,,1,,1,,,,,,,,,,,,,,,2
tRF-20-I1539U7S,1,1,,2,7,,1,1,1,1,1,3,,,,3,1,,,1,,1,,2,,1,,2,1,1,1,2,,3,,,2,2,4,,1,,,2,1,,5,1,2
tRF-20-I26WRNLE,8,1,2,,6,,,7,6,5,3,5,3,6,1,9,1,6,5,2,,7,1,7,2,13,1,1,,5,3,8,3,6,2,3,1,2,4,3,6,15,7,8,5,4,1,2,5
tRF-20-I2UKM759,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-I3FVSYER,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
tRF-20-I3R918VB,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-20-I3VF4YOZ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,2,,,,,,,,,,,,,,,,,,
